"Protected Shops","Protected Shops"
"Settings","Settings"
"Shop Id","Shop Id"
"Map","Map"
"Get/Show Documents Info","Get/Show Documents Info"
"Press button to load document types.","Press button to load document types."
"Please save settings before get document info.","Please save settings before get document info."
"Import Documents","Import Documents"
"Please save settings before import documents.","Please save settings before import documents."
"Document","Document"
"Destination","Destination"
"CMS Pages","CMS Pages"
"CMS Blocks","CMS Blocks"
"Agreements","Agreements"
"Unknown model: ""%s""","Unknown model: ""%s"""
"Unknown model entity: ""%s""","Unknown model entity: ""%s"""
"Format","Format"
"HTML","HTML"
"HTML-Lite","HTML-Lite"
"Text","Text"
"PDF","PDF"
"Add Row","Add Row"
"Auto Update","Auto Update"
"Active","Active"
"Interval","Interval"
"6 Hours","6 Hours"
"12 Hours","12 Hours"
"24 Hours","24 Hours"
"On Error Send Emails To","On Error Send Emails To"
"On Error Email Sender","On Error Email Sender"
"On Error Email Template","On Error Email Template"
"Protected Shops Auto Update Error","Protected Shops Auto Update Error"
"Import legal text success","Import legal text success"
"Document Info for Shop Id: %s","Document Info for Shop Id: %s"
"Configuration not completed.","Configuration not completed."
"API Response Status Error","API Response Status Error"
"API Response Content Type Error","API Response Content Type Error"
"API Response Document Hash Error %s - %s.","API Response Document Hash Error %s - %s."
"API Response Status Error","API Response Status Error"
"API Response Content Type Error","API Response Content Type Error"